locality,orgname,count
AGBOGBA,weija,1
TESANO,weija,1
SARPEIMAN,weija,1
ASHAMAN,weija,1
OMANJO,weija,1
PEKI,weija,1
ADJEIKOTOKU,weija,1
OPEIKUMAH,weija,1
KALABULA,weija,1
MAMPONG,weija,1
SOWUTIOM,weija,1
WEIJIA,weija,1
SEMANSHIA,weija,1
TIAFA,weija,1
BREMAN,weija,1
BROADCASING,weija,1
AFOAMAN,weija,1
JAMAN,weija,1
MILLINIUM,weija,1
MCCHATY,weija,1
MACCATHY,weija,1
AYIWURIS,weija,1
DARKUMAH,weija,1
ABLEKUIMA,weija,1
ASHIAMAN,weija,1
DODI,weija,1
FIJAI,weija,1
FERTEY,weija,1
AFRAM,weija,1
BUBUASIE,weija,1
ALBEKUMAN,weija,1
SAKUMONO,weija,1
UNPRE,weija,1
LOIS,weija,1
HONGONG,weija,1
MANHEAN,weija,1
KASOAL,weija,1
SOWOTOUM,weija,1
ADASEMAN,weija,1
NSAKENA,weija,1
SUWUTUM,weija,1
AKOM,weija,1
OBIOGO,weija,1
SHALOM,weija,1
KSAOA,weija,1
FUNMILK,weija,1
NYANYANU,weija,1
MCCARHTY,weija,1
KAS,weija,1
AFIAYIA,weija,1
KAWSIBU,weija,1
BULEMIN,weija,1
AMNAFROM,weija,1
KAI,weija,1
NYAMITSE,weija,1
OSHIEYE,weija,1
TETEGIU,weija,1
TWIFO,weija,1
DANSOMN,weija,1
SIFOSU,weija,1
ABEKWASE,weija,1
TESANOR,weija,1
GALILEYE,weija,1
KINTAMPO,weija,1
WATER,weija,1
TETEG,weija,1
ATOD,weija,1
ADUMASE,weija,1
SUPRESU,weija,1
ASOFA,weija,1
MANTEHEKO,weija,1
SUHUM,weija,1
ABLEJKUMAN,weija,1
AFOMAN,weija,1
MANGOLINE,weija,1
SUKULA,weija,1
AGBOBLOSHIE,weija,1
JUWULU,weija,1
KORMANTSE,weija,1
CAMP,weija,1
GALALIA,weija,1
OBOLOGO,weija,1
AYEGBE,weija,1
AYAWASO,weija,1
ZOGON,weija,1
OMANJOUR,weija,1
OTAMESS,weija,1
KOKRROBITE,weija,1
TETEGO,weija,1
CHINIS,weija,1
BAWE,weija,1
PAMBROUS,weija,1
MEPE,weija,1
SOWUTUOIMU,weija,1
BORTINAOR,weija,1
ABEKLUMA,weija,1
AKWELELY,weija,1
ADEASU,weija,1
JULIKART,weija,1
ADAM,weija,1
ABETIFI,weija,1
AKWATEMAN,weija,1
COLOMBA,weija,1
MARCATHY,weija,1
REDTOP,weija,1
ADOM,weija,1
KENYASE,weija,1
OFORIKROM,weija,1
SUWOTUW,weija,1
ALIU,weija,1
DROBO,weija,1
AKAWE,weija,1
